GenusSpecies,Genus,Species,Family,SubOrder,body_colors,body_colortypes,body_patterns,mate_guarding,flight_mode,territoriality,continents,aquatic_habitats,climates,ecozones,habitat_openness,citations,ISBN,DOI,sex_polymorphisms,sex_dimorphisms,geo_polymorphisms,body_lengths,forewing_lengths,hindwing_lengths,has_wing_pigment,wing_pigment_extent_discrete,wing_pigment_extent_continuous,wing_pigment_pattern,wing_pigment_symmetry,wing_pigment_dimorphism,wing_pigment_color,wing_pigment_placement,wing_pigment_color_type,female_has_wing_pigment,female_wing_pigment_extent_discrete,female_wing_pigment_extent_continuous,female_wing_pigment_placement,female_body_lengths,female_hindwing_lengths,female_forewing_lengths
Cannaphila vibex,Cannaphila,vibex,Libellulidae,Anisoptera,white,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cannaphila vibex,Cannaphila,vibex,Libellulidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castoraeschna castor,Castoraeschna,castor,Aeshnidae,Anisoptera,black,pigment,spotted,none,flier,NA,south america,stream,NA,nearctic,NA,Heckman (2006),978-94-017-1421-1,NA,NA,weak,NA,NA,NA,51.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA
Castoraeschna castor,Castoraeschna,castor,Aeshnidae,Anisoptera,green,NA,striped,NA,NA,NA,NA,NA,NA,neotropical,NA,Kompier (2015),978-0-9568291-1-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Castoraeschna castor,Castoraeschna,castor,Aeshnidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis amanda,Celithemis,amanda,Libellulidae,Anisoptera,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,red,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis amanda,Celithemis,amanda,Libellulidae,Anisoptera,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis amanda,Celithemis,amanda,Libellulidae,Anisoptera,black,pigment,spotted,contact,percher,NA,north america,pond,Cfa,nearctic,open,Paulson (2009),978-0691122816,NA,monomorphic,strong,monomorphic,29,NA,24.5,yes,25,0.24,NA,hindwing more pigment,weakly dimorphic,brown,basal,pigment,yes,25,0.27,basal,NA,NA,NA
Celithemis amanda,Celithemis,amanda,Libellulidae,Anisoptera,brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis bertha,Celithemis,bertha,Libellulidae,Anisoptera,red,NA,striped,NA,NA,NA,NA,NA,Cfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis bertha,Celithemis,bertha,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis bertha,Celithemis,bertha,Libellulidae,Anisoptera,black,pigment,spotted,contact,percher,NA,north america,lake,Af,nearctic,open,Paulson (2012),978-0691122830,NA,females,strong,NA,32,NA,26,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis elisa,Celithemis,elisa,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,orange,tip,NA,NA,NA,NA,tip,NA,NA,NA
Celithemis elisa,Celithemis,elisa,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis elisa,Celithemis,elisa,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis elisa,Celithemis,elisa,Libellulidae,Anisoptera,black,pigment,spotted,contact,percher,non-territorial,north america,lake,BSk,nearctic,open,Paulson (2009),978-0691122816,NA,males,strong,monomorphic,31.5,NA,27.5,yes,50,0.32,NA,hindwing more pigment,weakly dimorphic,black,basal,pigment,yes,50,0.32,basal,NA,NA,NA
Celithemis elisa,Celithemis,elisa,Libellulidae,Anisoptera,red,NA,striped,NA,NA,NA,NA,pond,Cfa,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brown,mixed,NA,NA,NA,NA,middle,NA,NA,NA
Celithemis eponina,Celithemis,eponina,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis eponina,Celithemis,eponina,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis eponina,Celithemis,eponina,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis eponina,Celithemis,eponina,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis eponina,Celithemis,eponina,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis eponina,Celithemis,eponina,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis eponina,Celithemis,eponina,Libellulidae,Anisoptera,black,pigment,striped,contact,percher,territorial,north america,lake,BSh,nearctic,open,Paulson (2009),978-0691122816,NA,monomorphic,strong,monomorphic,39,NA,33,yes,100,1,stripes,symmetric pigment,not dimorphic,amber,full,pigment,yes,100,1,full,NA,NA,NA
Celithemis eponina,Celithemis,eponina,Libellulidae,Anisoptera,orange,NA,NA,NA,NA,NA,NA,wetland,BSk,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brown,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis fasciata,Celithemis,fasciata,Libellulidae,Anisoptera,brown,NA,NA,NA,NA,NA,NA,stream,Cfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis fasciata,Celithemis,fasciata,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis fasciata,Celithemis,fasciata,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis fasciata,Celithemis,fasciata,Libellulidae,Anisoptera,black,pigment,plain,contact,percher,non-territorial,north america,lake,BSh,nearctic,semi,Paulson (2009),978-0691122816,NA,males,strong,males polymorphic,34,NA,28.5,yes,50,NA,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis fasciata,Celithemis,fasciata,Libellulidae,Anisoptera,blue,pruinescence,NA,NA,NA,NA,NA,pond,Cfa,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis martha,Celithemis,martha,Libellulidae,Anisoptera,brown,pruinescence,NA,NA,NA,NA,NA,pond,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis martha,Celithemis,martha,Libellulidae,Anisoptera,green,structural,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis martha,Celithemis,martha,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis martha,Celithemis,martha,Libellulidae,Anisoptera,black,pigment,plain,contact,percher,territorial,north america,lake,Cfa,nearctic,open,Paulson (2012),978-0691122830,NA,monomorphic,strong,monomorphic,29,NA,25.5,yes,25,NA,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis ornata,Celithemis,ornata,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Cfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis ornata,Celithemis,ornata,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis ornata,Celithemis,ornata,Libellulidae,Anisoptera,black,pigment,spotted,contact,percher,NA,north america,lake,Af,nearctic,open,Paulson (2009),978-0691122816,NA,monomorphic,strong,monomorphic,34,NA,25.5,yes,25,NA,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis ornata,Celithemis,ornata,Libellulidae,Anisoptera,orange,NA,striped,NA,NA,NA,NA,pond,Cfa,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis verna,Celithemis,verna,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis verna,Celithemis,verna,Libellulidae,Anisoptera,black,pigment,plain,contact,percher,NA,north america,lake,Cfa,nearctic,NA,Paulson (2009),978-0691122816,NA,monomorphic,strong,monomorphic,33.5,NA,26.5,yes,25,NA,NA,NA,NA,NA,basal,NA,NA,NA,NA,NA,NA,NA,NA
Celithemis verna,Celithemis,verna,Libellulidae,Anisoptera,blue,pruinescence,NA,NA,NA,NA,NA,pond,Cfb,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratogomphus pictus,Ceratogomphus,pictus,Gomphidae,Anisoptera,black,pigment,striped,NA,percher,territorial,afrika,lake,NA,afrotropical,open,Dijkstra and Clausnitzer (2014),978-9491615061,NA,NA,medium,NA,49.5,NA,29,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratogomphus pictus,Ceratogomphus,pictus,Gomphidae,Anisoptera,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Samways (2008),9.78955E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratogomphus pictus,Ceratogomphus,pictus,Gomphidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2002),0-620-29887-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratogomphus triceraticus,Ceratogomphus,triceraticus,Gomphidae,Anisoptera,black,pigment,striped,contact,percher,territorial,afrika,stream,BSk,afrotropical,semi,Samways (2008),9.78955E+12,NA,NA,weak,NA,60,NA,33,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratogomphus triceraticus,Ceratogomphus,triceraticus,Gomphidae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2002),0-620-29887-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion cerinorubellum,Ceriagrion,cerinorubellum,Coenagrionidae,Zygoptera,black,pigment,plain,NA,flier,NA,asia,pond,Af,indomalaya,NA,Hamalainen and Pinratana (1999),9.78975E+12,NA,monomorphic,weak,NA,36.5,NA,19,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA
Ceriagrion cerinorubellum,Ceriagrion,cerinorubellum,Coenagrionidae,Zygoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion cerinorubellum,Ceriagrion,cerinorubellum,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,NA,river,Am,NA,NA,Nair (2011),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion cerinorubellum,Ceriagrion,cerinorubellum,Coenagrionidae,Zygoptera,green,NA,NA,NA,NA,NA,NA,wetland,Aw,NA,NA,Subramanian (2005),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion cerinorubellum,Ceriagrion,cerinorubellum,Coenagrionidae,Zygoptera,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bun et al (2010),978-9810861551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion coromandelianum,Ceriagrion,coromandelianum,Coenagrionidae,Zygoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion coromandelianum,Ceriagrion,coromandelianum,Coenagrionidae,Zygoptera,green,pigment,plain,NA,flier,NA,asia,river,Aw,indomalaya,NA,Nair (2011),NA,NA,monomorphic,strong,NA,NA,NA,19,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
Ceriagrion coromandelianum,Ceriagrion,coromandelianum,Coenagrionidae,Zygoptera,white,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subramanian (2005),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion glabrum,Ceriagrion,glabrum,Coenagrionidae,Zygoptera,brown,pigment,plain,NA,percher,non-territorial,afrika,stream,NA,afrotropical,semi,Samways (2008),9.78955E+12,NA,monomorphic,strong,NA,40,NA,20,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA
Ceriagrion glabrum,Ceriagrion,glabrum,Coenagrionidae,Zygoptera,orange,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suhling and Martens (2007),9.78999E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion glabrum,Ceriagrion,glabrum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion olivaceum,Ceriagrion,olivaceum,Coenagrionidae,Zygoptera,brown,pigment,plain,NA,percher,NA,asia,stream,Aw,indomalaya,NA,Nair (2011),NA,NA,monomorphic,medium,females polymorphic,NA,NA,22.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA
Ceriagrion olivaceum,Ceriagrion,olivaceum,Coenagrionidae,Zygoptera,green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Subramanian (2005),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion suave,Ceriagrion,suave,Coenagrionidae,Zygoptera,orange,pigment,plain,NA,percher,non-territorial,afrika,stream,NA,afrotropical,semi,Samways (2008),9.78955E+12,NA,NA,weak,NA,38,NA,20.25,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA
Ceriagrion suave,Ceriagrion,suave,Coenagrionidae,Zygoptera,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion tenellum,Ceriagrion,tenellum,Coenagrionidae,Zygoptera,green,pigment,plain,contact,percher,non-territorial,europe,stream,NA,palearctic,open,Askew (1988),978-0946589104,NA,females,strong,monomorphic,30,NA,19,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceriagrion tenellum,Ceriagrion,tenellum,Coenagrionidae,Zygoptera,red,structural,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chalcolestes parvidens,Chalcolestes,parvidens,Lestidae,Zygoptera,green,pigment,plain,contact,percher,NA,europe,lake,NA,palearctic,closed,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,46.5,NA,24,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chalcolestes parvidens,Chalcolestes,parvidens,Lestidae,Zygoptera,NA,structural,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chalcostephia flavifrons,Chalcostephia,flavifrons,Libellulidae,Anisoptera,blue,pruinescence,plain,NA,percher,NA,afrika,pond,NA,afrotropical,closed,Dijkstra and Clausnitzer (2014),978-9491615061,NA,monomorphic,strong,NA,34,NA,26.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chalcostephia flavifrons,Chalcostephia,flavifrons,Libellulidae,Anisoptera,NA,structural,striped,NA,NA,NA,NA,NA,NA,NA,NA,Samways (2008),9.78955E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chalcostephia flavifrons,Chalcostephia,flavifrons,Libellulidae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2002),0-620-29887-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorocypha consueta,Chlorocypha,consueta,Chlorocyphidae,Zygoptera,black,pigment,striped,NA,percher,territorial,afrika,stream,NA,afrotropical,closed,Samways (2008),9.78955E+12,NA,NA,strong,NA,31,NA,24,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA
Chlorocypha consueta,Chlorocypha,consueta,Chlorocyphidae,Zygoptera,red,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorogomphus campioni,Chlorogomphus,campioni,Chlorogomphidae,Anisoptera,green,NA,spotted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorogomphus campioni,Chlorogomphus,campioni,Chlorogomphidae,Anisoptera,yellow,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorogomphus campioni,Chlorogomphus,campioni,Chlorogomphidae,Anisoptera,black,pigment,plain,NA,flier,NA,asia,stream,NA,indomalaya,closed,Subramanian (2005),NA,NA,monomorphic,medium,NA,NA,NA,45,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
Chlorolestes apricans,Chlorolestes,apricans,Synlestidae,Zygoptera,NA,structural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorolestes apricans,Chlorolestes,apricans,Synlestidae,Zygoptera,brown,pigment,plain,NA,percher,NA,afrika,stream,NA,afrotropical,semi,Samways (2008),9.78955E+12,NA,males,medium,monomorphic,36,NA,20.5,yes,75,NA,NA,NA,NA,NA,mixed,NA,NA,NA,NA,NA,37,NA,NA
Chlorolestes apricans,Chlorolestes,apricans,Synlestidae,Zygoptera,green,pruinescence,striped,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorolestes conspicuus,Chlorolestes,conspicuus,Synlestidae,Zygoptera,NA,structural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorolestes conspicuus,Chlorolestes,conspicuus,Synlestidae,Zygoptera,brown,pigment,plain,NA,percher,NA,afrika,river,NA,afrotropical,closed,Samways (2008),9.78955E+12,NA,NA,medium,NA,62,NA,33,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA
Chlorolestes conspicuus,Chlorolestes,conspicuus,Synlestidae,Zygoptera,green,pruinescence,striped,NA,NA,NA,NA,stream,NA,NA,open,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorolestes draconicus,Chlorolestes,draconicus,Synlestidae,Zygoptera,NA,structural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorolestes draconicus,Chlorolestes,draconicus,Synlestidae,Zygoptera,green,pigment,plain,NA,percher,NA,afrika,stream,NA,afrotropical,closed,Samways (2008),9.78955E+12,NA,NA,weak,NA,58,NA,30,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA
Chlorolestes draconicus,Chlorolestes,draconicus,Synlestidae,Zygoptera,yellow,pruinescence,striped,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorolestes elegans,Chlorolestes,elegans,Synlestidae,Zygoptera,brown,pigment,plain,NA,percher,NA,afrika,stream,NA,afrotropical,closed,Dijkstra and Clausnitzer (2014),978-9491615061,NA,males,medium,NA,59,NA,32,yes,75,NA,NA,NA,NA,NA,mixed,NA,NA,NA,NA,NA,52,NA,NA
Chlorolestes elegans,Chlorolestes,elegans,Synlestidae,Zygoptera,green,pruinescence,striped,NA,NA,NA,NA,NA,NA,NA,NA,Samways (2008),9.78955E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorolestes elegans,Chlorolestes,elegans,Synlestidae,Zygoptera,NA,structural,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorolestes fasciatus,Chlorolestes,fasciatus,Synlestidae,Zygoptera,NA,structural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorolestes fasciatus,Chlorolestes,fasciatus,Synlestidae,Zygoptera,brown,pigment,plain,NA,percher,NA,afrika,river,NA,afrotropical,closed,Samways (2008),9.78955E+12,NA,males,weak,NA,46,NA,29.5,yes,50,0.55,NA,symmetric pigment,NA,black,mixed,pigment,no,NA,NA,NA,43,NA,NA
Chlorolestes fasciatus,Chlorolestes,fasciatus,Synlestidae,Zygoptera,green,pruinescence,striped,NA,NA,NA,NA,stream,NA,NA,open,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prunescence,NA,structural,NA,NA,NA,NA,NA,NA,NA
